SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,V. S. UGRAPPA,Indian National Congress,559970,711,560681,45.89
2,K. GULAPPA,Bahujan Samaj Party,9952,9,9961,0.82
3,Y. DEVENDRAPPA,Bharatiya Janata Party,614274,2114,616388,50.44
4,B. ESHWARAPPA,Shivsena,6919,0,6919,0.57
5,A. DEVADAS,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3832,1,3833,0.31
6,NAVEEN KUMAR. S,Bharat Prabhat Party,1402,0,1402,0.11
7,NAYAKARA RAMAPPA,Indian Labour Party (Ambedkar Phule),1839,1,1840,0.15
8,B. RAGHU,Pyramid Party of India,2656,2,2658,0.22
9,P. D. RAMANAYAKA,Republican Party of India (Karnataka),2720,2,2722,0.22
10,T. VEERESH,Samajwadi Forward Bloc,3397,0,3397,0.28
11,CONDUCTOR PAMPAPATHI,Independent,3100,1,3101,0.25
12,NOTA,None of the Above,9016,8,9024,0.74
,Total, ,1219077,2849,1221926,
