SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Arpita Ghosh,All India Trinamool Congress,505463,561,506024,42.24
2,Abdus Sadek Sarkar,Indian National Congress,36698,85,36783,3.07
3,Nalin Chandra Murmu,Bahujan Samaj Party,3302,18,3320,0.28
4,Ranen Barman,Revolutionary Socialist Party,72917,73,72990,6.09
5,Sukanta Majumdar,Bharatiya Janata Party,537577,1740,539317,45.02
6,Naran Tudu,Jharkhand Mukti Morcha,6383,4,6387,0.53
7,Nubash Chandra Barman,Kamatapur People’s Party (United),1762,1,1763,0.15
8,Biren Mahanta,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1525,1,1526,0.13
9,Manas Chakraborty,Communist Party of India (Marxist-Leninist) Red Star,1345,4,1349,0.11
10,Ranjit Kumar Mohanta,Shivsena,3297,3,3300,0.28
11,Ranendra Nath Mali,Bahujan Mukti Party,2005,2,2007,0.17
12,Bibhuti Tudu,Independent,4714,5,4719,0.39
13,Muslima Khatun,Independent,4949,1,4950,0.41
14,NOTA,None of the Above,13403,11,13414,1.12
,Total, ,1195340,2509,1197849,
