SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AGARWAL KANAIALAL,All India Trinamool Congress,449269,1809,451078,35.32
2,CHURKA MURMU,Bahujan Samaj Party,4080,11,4091,0.32
3,DEEPA DASMUNSI,Indian National Congress,83460,202,83662,6.55
4,DEBASREE CHAUDHURI,Bharatiya Janata Party,509862,1790,511652,40.06
5,MD. SALIM,Communist Party of India (Marxist),181310,725,182035,14.25
6,AKIK HOSSAIN CHOWDHURY,Kamatapur People’s Party (United),2959,0,2959,0.23
7,LAKSHMAN MURMU,Ambedkarite Party of India,3267,2,3269,0.26
8,SANTHAPAN HASDAK,Jharkhand Mukti Morcha,2829,2,2831,0.22
9,SUJAN KRISHNA PAUL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1629,3,1632,0.13
10,ADVOCATE ANJAY DEBSARMA,Independent,2369,2,2371,0.19
11,KUMARESH SARKAR,Independent,3159,4,3163,0.25
12,BINOY KUMAR DAS,Independent,6925,0,6925,0.54
13,MD. SAHAJAN BADSHA,Independent,5054,0,5054,0.4
14,RAJU PAUL,Independent,2638,0,2638,0.21
15,NOTA,None of the Above,13747,2,13749,1.08
,Total, ,1272557,4552,1277109,
