SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ADHIKARI DEEPAK (DEV),All India Trinamool Congress,717407,552,717959,48.22
2,KHANDAKAR MD. SAIFULLAH (SAIFUL),Indian National Congress,32793,46,32839,2.21
3,TAPAN GANGULI,Communist Party of India,96943,117,97060,6.52
4,BHARATI GHOSH,Bharatiya Janata Party,608523,1463,609986,40.97
5,SURAJIT SENAPATI,Bahujan Samaj Party,7646,4,7650,0.51
6,UJJWAL KUMAR GHATAK,Shivsena,4209,4,4213,0.28
7,DINESH MAIKAP,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),5283,18,5301,0.36
8,NOTA,None of the Above,13796,14,13810,0.93
,Total, ,1486600,2218,1488818,
