SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARJUN SINGH,Bharatiya Janata Party,471490,1504,472994,42.82
2,GARGI CHATTERJEE,Communist Party of India (Marxist),117354,102,117456,10.63
3,Tapash Sarkar,Bahujan Samaj Party,3823,15,3838,0.35
4,DINESH TRIVEDI,All India Trinamool Congress,457870,267,458137,41.48
5,MD. ALAM,Indian National Congress,15784,32,15816,1.43
6,Pradip Chaudhuri,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1629,3,1632,0.15
7,UDAY VEER CHOUDHURY,Independent,670,0,670,0.06
8,Kundan Singh,Independent,712,1,713,0.06
9,KRISHANPAL BALMIKI,Independent,858,0,858,0.08
10,GANESH DAS,Independent,1705,0,1705,0.15
11,GOPAL RAUT,Independent,1041,1,1042,0.09
12,MD. SHYEAD AHAMED,Independent,2982,2,2984,0.27
13,RAMU MANDI,Independent,8135,1,8136,0.74
14,SHAMPA SIL,Independent,2270,1,2271,0.21
15,Sourav Singh,Independent,3533,1,3534,0.32
16,NOTA,None of the Above,12711,20,12731,1.15
,Total, ,1102567,1950,1104517,
