SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KHAN NARAYAN CHANDRA,Indian National Congress,17860,72,17932,1.26
2,KHAN SUNIL,Communist Party of India (Marxist),102498,117,102615,7.22
3,KHAN SAUMITRA,Bharatiya Janata Party,654904,2115,657019,46.25
4,SHYAMAL SANTRA,All India Trinamool Congress,578560,412,578972,40.75
5,AJIT KUMAR BAURI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),11210,15,11225,0.79
6,JITENDRA NATH ROY,Communist Party of India (Marxist-Leninist) Red Star,6434,4,6438,0.45
7,BASUDEB SIKARI,Bahujan Mukti Party,13542,3,13545,0.95
8,TARANI ROY,Independent,11059,11,11070,0.78
9,SANJIT KHAN,Independent,7390,6,7396,0.52
10,NOTA,None of the Above,14414,22,14436,1.02
,Total, ,1417871,2777,1420648,
