SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Angam Karung Kom,Nationalist Congress Party,2145,407,2552,0.3
2,K. James,Indian National Congress,151103,1407,152510,17.77
3,Thangminlien Kipgen,National People's Party,30261,465,30726,3.58
4,Lorho S. Pfoze,Naga Peoples Front,362707,820,363527,42.37
5,Houlim Shokhopao Mate,Bharatiya Janata Party,287058,2687,289745,33.77
6,Ashang Kasar,North East India Development Party,12081,130,12211,1.42
7,Hangkhanpau Taithul,Janata Dal (United),2879,108,2987,0.35
8,Leikhan Kaipu,Independent,933,63,996,0.12
9,NOTA,None of the Above,2668,107,2775,0.32
,Total, ,851835,6194,858029,
