SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Ajay Bhatt,Bharatiya Janata Party,765173,7022,772195,61.35
2,Er. Navneet Agarwal,Bahujan Samaj Party,28271,184,28455,2.26
3,Harish Rawat,Indian National Congress,431101,1998,433099,34.41
4,Comrade Dr. Kailash Pandey,Communist Party of India (Marxist-Leninist) (Liberation),5468,20,5488,0.44
5,Er. Jyoti Prakash Tamta,Bahujan Mukti Party,2045,8,2053,0.16
6,Prem Prasad Arya,Pragatisheel Lok Manch,3332,7,3339,0.27
7,Sukumar Vishvas,Independent,3326,7,3333,0.26
8,NOTA,None of the Above,10540,68,10608,0.84
,Total, ,1249256,9314,1258570,
