SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NRUSINGHA CHARAN DAS,Bahujan Samaj Party,6259,24,6283,0.55
2,PINAKI MISRA,Biju Janata Dal,537782,539,538321,47.4
3,SATYA PRAKASH NAYAK,Indian National Congress,44599,135,44734,3.94
4,Dr Sambit Patra,Bharatiya Janata Party,524504,2103,526607,46.37
5,JAYAPRAKASH SETHI,Akhil Bharat Hindu Mahasabha,5005,3,5008,0.44
6,Mandakini Sethi,Communist Party of India (Marxist-Leninist) (Liberation),2648,3,2651,0.23
7,RANJAN MISHRA,Communist Party of India (Marxist-Leninist) Red Star,2311,1,2312,0.2
8,Sabyasachi Mohapatra,Kalinga Sena,2485,2,2487,0.22
9,NOTA,None of the Above,7210,7,7217,0.64
,Total, ,1132803,2817,1135620,
