SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ACHYUTANANDA SAMANTA,Biju Janata Dal,461154,525,461679,49.01
2,Amir Nayak,Bahujan Samaj Party,7289,25,7314,0.78
3,Manoj Kumar Acharya,Indian National Congress,138647,346,138993,14.76
4,Mahameghabahan Aira Kharabela Swain,Bharatiya Janata Party,310883,1580,312463,33.17
5,TUNA MALLICK,Communist Party of India (Marxist-Leninist) Red Star,8278,5,8283,0.88
6,NOTA,None of the Above,13247,6,13253,1.41
,Total, ,939498,2487,941985,
