SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Kalikesh Narayan Singh Deo,Biju Janata Dal,478183,387,478570,36.62
2,Rana Nag,Bahujan Samaj Party,12191,38,12229,0.94
3,Samarendra Mishra,Indian National Congress,270712,344,271056,20.74
4,Sangeeta Kumari Singh Deo,Bharatiya Janata Party,496237,1849,498086,38.12
5,DINESH NAG,Ambedkarite Party of India,13902,17,13919,1.07
6,Suresh Kumar Putel,Bahujan Mukti Party,5258,3,5261,0.4
7,Hrudananda Karuan,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),5505,3,5508,0.42
8,Dr. Bipin Kusulia,Independent,6073,2,6075,0.46
9,NOTA,None of the Above,15989,12,16001,1.22
,Total, ,1304050,2655,1306705,
