SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KEWAL SINGH DHILLON,Indian National Congress,302559,791,303350,27.43
2,PARMINDER SINGH DHINDSA,Shiromani Akali Dal,262622,876,263498,23.83
3,BHAGWANT MANN,Aam Aadmi Party,412201,1360,413561,37.4
4,SIMRANJIT SINGH MANN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),48234,131,48365,4.37
5,GURNAM SINGH BHIKHI,Communist Party of India (Marxist-Leninist) (Liberation),2748,18,2766,0.25
6,JASRAJ SINGH LONGIA,Lok Insaaf Party,20016,71,20087,1.82
7,JASWANT SINGH,Rashtriya Janshakti Party (Secular),1643,10,1653,0.15
8,JAGMOHAN KRISHAN THAKUR,Janral Samaj Party,7354,21,7375,0.67
9,NAJEERA BEGAM,Rashtriya Sahara Party,1269,20,1289,0.12
10,BALWINDER SINGH SANDHU,Bharat Prabhat Party,857,22,879,0.08
11,MOHINDERPAL SINGH DANGARH,Bhartiya Lok Seva Dal,3871,10,3881,0.35
12,MANISH KUMAR,Bhartiya Janraj Party,1890,76,1966,0.18
13,MALVINDER SINGH BENIPAL,Janata Dal (United),2718,8,2726,0.25
14,Rajvir Kaur,Hindustan Shakti Sena,3873,18,3891,0.35
15,VIJAY AGGARWAL,Bhartiya Shakti Chetna Party,2299,5,2304,0.21
16,SUKHWINDER SINGH,Independent,5242,1,5243,0.47
17,GURJEET SINGH,Independent,2837,2,2839,0.26
18,TULSI SINGH,Independent,1502,3,1505,0.14
19,DAYAL CHAND,Independent,2022,2,2024,0.18
20,DESA SINGH,Independent,3794,3,3797,0.34
21,PAPPU KUMAR,Independent,748,2,750,0.07
22,BAGGA SINGH KAHNE-KE,Independent,1160,2,1162,0.11
23,BALJIT KAUR,Independent,1546,17,1563,0.14
24,BHANTBIR SINGH,Independent,1415,2,1417,0.13
25,RAJ KUMAR,Independent,1507,0,1507,0.14
26,NOTA,None of the Above,6426,64,6490,0.59
,Total, ,1102353,3535,1105888,
