SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,P. P. CHAUDHARY,Bharatiya Janata Party,890817,9332,900149,66.2
2,BADRIRAM JAKHAR,Indian National Congress,413439,5113,418552,30.78
3,KANHAIYALAL VAISHNAV,Shivsena,7728,17,7745,0.57
4,RAMPRASAD JATAV,Ambedkarite Party of India,6229,15,6244,0.46
5,Dr. RAMLAL MOHBARSHA,Indian Indira Congress (R),2548,21,2569,0.19
6,LAXMAN KUMAR,Proutist Sarva Samaj,1884,0,1884,0.14
7,JAGDISH CHANDRA,Independent,2337,0,2337,0.17
8,HEMANT KUMAR SINGHVI,Independent,5138,1,5139,0.38
9,NOTA,None of the Above,15105,75,15180,1.12
,Total, ,1345225,14574,1359799,
