SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ASHOK TRIPATHI,Bahujan Samaj Party,316633,1906,318539,34.83
2,RAJKUMARI RATNA SINGH,Indian National Congress,76686,410,77096,8.43
3,SANGAM LAL GUPTA,Bharatiya Janata Party,434222,2069,436291,47.7
4,AKSHAY PRATAP SINGH ALIAS GOPAL JI,Jansatta Dal Loktantrik,46766,197,46963,5.13
5,M. IRSHAD,Sarvodaya Bharat Party,5558,1,5559,0.61
6,RAM BAHADUR SHARMA,Moulik Adhikar Party,5576,2,5578,0.61
7,SHESHNATH TIWARI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),4526,2,4528,0.5
8,DR. B. L. VERMA,Independent,7921,31,7952,0.87
9,NOTA,None of the Above,12127,32,12159,1.33
,Total, ,910015,4650,914665,
