SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,JAYANT CHAUDHARY,Rashtriya Lok Dal,500794,1493,502287,48.07
2,Dr. SATYAPAL SINGH,Bharatiya Janata Party,519631,6158,525789,50.32
3,ISTAKAR ALI,National Lokmat Party,1598,30,1628,0.16
4,UTTAR KUMAR JINDAL,Bhartiya Naujawan Inklav Party,915,17,932,0.09
5,DEVENDER,Aapki Apni Party (Peoples),654,7,661,0.06
6,PARVEEN YOGI,Bhartiya Nojawan Dal,1042,5,1047,0.1
7,MANOJ RANA,Akhil Bhartiya Lok Dal,495,8,503,0.05
8,CHAUDHARY MOHKAM,Pragatishil Samajwadi Party (Lohia),685,22,707,0.07
9,RAMKUMAR,Sarvjan Lok Shakti Party,1246,4,1250,0.12
10,RUBY KASHYAP,Hindusthan Nirman Dal,609,24,633,0.06
11,Dr. SALEEM AHMAD,Sabse Achchhi Party,550,6,556,0.05
12,JAFAR,Independent,1396,4,1400,0.13
13,SUBHASH,Independent,2450,10,2460,0.24
14,NOTA,None of the Above,4996,45,5041,0.48
,Total, ,1037061,7833,1044894,
