SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AJIT PRATAP KUSHAWAHA,Indian National Congress,19656,178,19834,1.79
2,AFZAL ANSARI,Bahujan Samaj Party,564144,1938,566082,51.2
3,BHANU PRAKASH PANDEY,Communist Party of India,7833,11,7844,0.71
4,MANOJ SINHA,Bharatiya Janata Party,443188,3502,446690,40.4
5,ISHWARI PRASAD KUSHWAHA,Communist Party of India (Marxist-Leninist) (Liberation),4935,11,4946,0.45
6,BRIJENDRA KUMAR VERMA,Kisan Mazdoor Sangharsh Party,1015,4,1019,0.09
7,BHARAT,Janta Raj Party,949,0,949,0.09
8,RAJESH KUMAR YADAV,Pragatisheel Manav Samaj Party,1813,9,1822,0.16
9,Dr. RAJESH KUMAR SINGH,Bhartiya Jan Nayak Party,1226,6,1232,0.11
10,RAMJI,Suheldev Bharatiya Samaj Party,33868,9,33877,3.06
11,RAMPRAVESH SHARMA ALIAS RINKOO,Moulik Adhikar Party,3388,4,3392,0.31
12,VED PRAKASH,Nationalist Janshakti Party,2396,4,2400,0.22
13,SANTOSH KUMAR YADAV,Pragatishil Samajwadi Party (Lohia),2429,19,2448,0.22
14,HRIDAYA NARAYAN SINGH,Independent,6219,2,6221,0.56
15,NOTA,None of the Above,6831,40,6871,0.62
,Total, ,1099890,5737,1105627,
