SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Ramcharitra Nishad,Samajwadi Party,359208,348,359556,32.42
2,Lalitesh Pati Tripathi,Indian National Congress,91392,109,91501,8.25
3,Archana Mishra,Satya Bahumat Party,9165,41,9206,0.83
4,Anupriya Singh Patel,Apna Dal (Soneylal),590867,697,591564,53.34
5,Adesh Tyagi,Bharat Prabhat Party,7866,55,7921,0.71
6,Ashish Kumar Tripathi,Pragatishil Samajwadi Party (Lohia),4013,11,4024,0.36
7,Jeera Devi,Communist Party of India (Marxist-Leninist) (Liberation),8545,8,8553,0.77
8,Dinesh Kumar Pal,Rashtriya Samaj Paksha,7135,10,7145,0.64
9,Radheshyam Inshan,Bhartiya Republican Party (Insan),14136,6,14142,1.28
10,NOTA,None of the Above,15333,20,15353,1.38
,Total, ,1107660,1305,1108965,
