SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,MAJOR JAGAT PAL SINGH,Indian National Congress,12076,29,12105,1.02
2,PARAMESHVAR LAL SAINI,Bharatiya Janata Party,482466,714,483180,40.83
3,DR. SHAFIQUR REHMAN BARQ,Samajwadi Party,657505,501,658006,55.6
4,ILYAS,Bhartiya Hind Fauj,4081,0,4081,0.34
5,KARAN SINGH YADAV,Pragatishil Samajwadi Party (Lohia),4195,3,4198,0.35
6,BHOJRAJ,Swatantra Jantaraj Party,746,0,746,0.06
7,RAM CHANDRA,Bharat Prabhat Party,645,0,645,0.05
8,SHAHLA WAJID,Ambedkar Samaj Party,1044,4,1048,0.09
9,HASAN RAZA,Rashtriya Ulama Council,1227,0,1227,0.1
10,FIROZ KHAN,Independent,2733,1,2734,0.23
11,MOHD. MASROOR,Independent,3628,0,3628,0.31
12,VIRENDRA KUMAR PRAJAPATI,Independent,4637,4,4641,0.39
13,NOTA,None of the Above,7226,4,7230,0.61
,Total, ,1182209,1260,1183469,
