SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,OMVATI DEVI,Indian National Congress,19967,79,20046,1.99
2,GIRISH CHANDRA,Bahujan Samaj Party,567195,1183,568378,56.31
3,DR. YASHWANT SINGH,Bharatiya Janata Party,399348,2198,401546,39.78
4,AMICHAND,Rashtriya Samanta Dal,6154,2,6156,0.61
5,KAMESH KUMAR,Peoples Party of India (Democratic),1751,1,1752,0.17
6,TEJ SINGH,Ambedkar Samaj Party,2165,4,2169,0.21
7,CHARAN SINGH,Independent,2877,4,2881,0.29
8,NOTA,None of the Above,6498,30,6528,0.65
,Total, ,1005955,3501,1009456,
