SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KANWAR SINGH TANWAR,Bharatiya Janata Party,536380,1454,537834,46
2,KUNWAR DANISH ALI,Bahujan Samaj Party,600744,338,601082,51.41
3,SACHIN CHOUDHARY,Indian National Congress,12454,56,12510,1.07
4,MATLOOB AHMAD,Pragatishil Samajwadi Party (Lohia),946,8,954,0.08
5,RAJPAL SINGH SAINI,Jan Shakti Dal,1163,1,1164,0.1
6,AKHTAR,Independent,978,1,979,0.08
7,NARESH KUMAR,Independent,944,1,945,0.08
8,RAJPAL SINGH,Independent,1390,2,1392,0.12
9,(KUNWAR) ROBIN TYAGI,Independent,2055,1,2056,0.18
10,VIKAR AHMAD,Independent,3649,0,3649,0.31
11,NOTA,None of the Above,6605,12,6617,0.57
,Total, ,1167308,1874,1169182,
