SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Manoj Agarwal,Bahujan Samaj Party,347714,464,348178,34.72
2,Mukesh Rajput,Bharatiya Janata Party,567930,1950,569880,56.82
3,Salman Khurshid,Indian National Congress,55143,115,55258,5.51
4,Uday pal Singh,Pragatishil Samajwadi Party (Lohia),9671,30,9701,0.97
5,Luxman,Shivsena,1887,6,1893,0.19
6,Vipin Kumar Mishra,Bhartiya Shakti Chetna Party,1311,1,1312,0.13
7,Shri Krishna,Mazdoor Dalit Kisaan Mahila Gareeb Party (Hindustani),1667,2,1669,0.17
8,Rahul Kumar,Independent,3661,1,3662,0.37
9,Sanjay Kumar,Independent,3963,0,3963,0.4
10,NOTA,None of the Above,7426,11,7437,0.74
,Total, ,1000373,2580,1002953,
