SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BALKUMAR PATEL,Indian National Congress,75350,88,75438,7.29
2,MAHENDRA,Communist Party of India,10347,2,10349,1
3,SHYAMA CHARAN GUPTA,Samajwadi Party,418647,341,418988,40.5
4,R.K. SINGH PATEL,Bharatiya Janata Party,477100,826,477926,46.2
5,CHHOTELAL,Pragatishil Samajwadi Party (Lohia),12746,1,12747,1.23
6,MIRA DEVI,Swatantra Jantaraj Party,6539,6,6545,0.63
7,SHIRAZ RAHAT KHAN,Ambedkar Samaj Party,7869,4,7873,0.76
8,RAMPRATAP,Independent,5430,3,5433,0.53
9,NOTA,None of the Above,19248,2,19250,1.86
,Total, ,1033276,1273,1034549,
