SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Chauhan Devusinh,Bharatiya Janata Party,711757,2815,714572,65.04
2,Bimal Shah,Indian National Congress,345804,1623,347427,31.62
3,Bhailalbhai Kalubhai Pandav,Bahujan Samaj Party,7400,61,7461,0.68
4,Chauhan Parsottambhai Babarbhai,Yuva Jan Jagriti Party,2093,7,2100,0.19
5,Patel Kamleshkumar Ratilal,Hindusthan Nirman Dal,1759,5,1764,0.16
6,Pathan Ayashabanu,Ambedkar National Congress,2171,5,2176,0.2
7,Pathan Imtiyazkhan Saeedkhan,Apna Desh Party,4853,3,4856,0.44
8,NOTA,None of the Above,18201,76,18277,1.66
,Total, ,1094038,4595,1098633,
