SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Gitaben Patel,Indian National Congress,312883,2621,315504,28.26
2,Patel Hasmukhbhai Somabhai,Bharatiya Janata Party,745810,4024,749834,67.17
3,Vaghela Ganeshbhai Narsinhbhai,Bahujan Samaj Party,8970,151,9121,0.82
4,Kadri Mohammad Sabir,Ambedkar National Congress,625,3,628,0.06
5,Chauhan Narendrasinh Makhatulsinh,Yuva Jan Jagriti Party,576,13,589,0.05
6,Thakur Jitendrasinh Surendrasinh,Loktantrik Rashrtavadi Party,699,6,705,0.06
7,Bhatt Sunilkumar Narendrabhai,Right to Recall Party,701,3,704,0.06
8,Manoj Premchand Gupta,Sarvodaya Bharat Party,602,2,604,0.05
9,Mishra Arjun Ramshankar,Jan Sangharsh Virat Party,818,3,821,0.07
10,Mundra Anilkumar,Lok Gathbandhan Party,625,10,635,0.06
11,Rajesh Maurya,Prajatantra Aadhar Party,1332,14,1346,0.12
12,Virat Pradip Shah,Jan Satya Path Party,898,1,899,0.08
13,Vekariya Rushi Bharatbhai (Patel),Hindusthan Nirman Dal,1644,5,1649,0.15
14,Samirbhai Rajeshkumar Upadhyay,Manvadhikar National Party,1271,1,1272,0.11
15,Dr. Hitesh Mahendrabhai,Nirbhay Bharteey Party,2442,7,2449,0.22
16,Atulbhai Nanubhai Kathiriya,Independent,6081,1,6082,0.54
17,Chauhan Kiritbhai,Independent,3547,1,3548,0.32
18,Jayswal Nareshkumar Babulal (Raju Mataji),Independent,2509,8,2517,0.23
19,Devda Dasharath Misarilal,Independent,1392,3,1395,0.12
20,Pareshkumar Nanubhai Mulani,Independent,457,1,458,0.04
21,Bharvad Saileshkumar Kalidas,Independent,572,1,573,0.05
22,Mahesh Prabhudas Ahuja,Independent,1789,2,1791,0.16
23,Mishra Rajkumar Malekchand,Independent,529,5,534,0.05
24,Minaxiben Rakeshkumar Solanki,Independent,888,10,898,0.08
25,Sharma Brijesh Kumar Ujagarlal,Independent,1337,0,1337,0.12
26,Sheikh Salmabanu Mohammad Salim,Independent,1465,1,1466,0.13
27,NOTA,None of the Above,8834,174,9008,0.81
,Total, ,1109296,7071,1116367,
