SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AYYAJI VEMA MANEPALLI,Bharatiya Janata Party,11358,158,11516,0.94
2,GANTI HARISH MADHUR (BALAYOGI),Telugu Desam,442774,2573,445347,36.18
3,CHINTA ANURADHA,Yuvajana Sramika Rythu Congress Party,481358,3955,485313,39.43
4,JANGA GOUTHAM,Indian National Congress,7840,38,7878,0.64
5,CHELLE RAJANI,Jana Jagruti Party,1228,0,1228,0.1
6,PANTHAGADA VIJAYA CHAKRAVARTHY,Republican Party of India (Khobragade),1801,0,1801,0.15
7,MURALIKRISHNA KANDERI,India Praja Bandhu Party,1801,1,1802,0.15
8,MORTHA SIVA RAMA KRISHNA,Pyramid Party of India,1946,4,1950,0.16
9,D M R SEKHAR,Janasena Party,253271,1577,254848,20.7
10,REVU SUDHAKAR,Independent,2770,1,2771,0.23
11,NOTA,None of the Above,16408,41,16449,1.34
,Total, ,1222555,8348,1230903,
