SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Jayadev Galla,Telugu Desam,586292,1626,587918,43.5
2,Jayaprakash Narayana Valluru,Bharatiya Janata Party,11667,174,11841,0.88
3,Modugula Venugopala Reddy,Yuvajana Sramika Rythu Congress Party,580840,2873,583713,43.19
4,Shaik Mastanvali,Indian National Congress,14124,81,14205,1.05
5,Araveti Hazarath Rao,Pyramid Party of India,808,2,810,0.06
6,Ullagi David Jayakumar,Hardam Manavtawadi Rashtriya Dal,447,0,447,0.03
7,Jeldi Raja Mohan,All India Praja Party,437,0,437,0.03
8,Nagaraju Ekula,Republican Party of India (A),920,0,920,0.07
9,Bonaboyina Srinivasa Rao,Janasena Party,128746,459,129205,9.56
10,Mannava Hariprasad,Communist Party of India (Marxist-Leninist) Red Star,3212,4,3216,0.24
11,Ramarao Simhadri,Praja Shanthi Party,1744,2,1746,0.13
12,Jacob Vidyasagar Nakka,Viduthalai Chiruthaigal Katchi,639,2,641,0.05
13,Sarabandi Raju Sikhinam,Indian Labour Party (Ambedkar Phule),1015,2,1017,0.08
14,Shaik Jaleel,Navarang Congress Party,560,3,563,0.04
15,Samudrala Chinna Kotaiah,National Dalitha Dhal Party,628,0,628,0.05
16,Umar Basha Shaik,Independent,2676,0,2676,0.2
17,Dasari Kiran Babu,Independent,2907,2,2909,0.22
18,Doppalapudi Veera Das,Independent,629,0,629,0.05
19,Yanamadala Venkata Suresh,Independent,1947,0,1947,0.14
20,NOTA,None of the Above,5972,34,6006,0.44
,Total, ,1346210,5264,1351474,
