SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NALLURI VIJAYA SRINIVASA RAO,Indian National Congress,12678,47,12725,1.02
2,PARAVASTU SATYA GOPINATH DAS,Bharatiya Janata Party,12165,169,12334,0.99
3,MAGANTI ROOPA,Telugu Desam,459100,1290,460390,36.82
4,MARGANI BHARAT,Yuvajana Sramika Rythu Congress Party,578471,3553,582024,46.55
5,AKULA SATYANARAYANA,Janasena Party,155164,643,155807,12.46
6,GEDDAM DAVID NELSON BABU,Ambedkarite Party of India,1752,5,1757,0.14
7,BANDARU RAJESWARA RAO,Jana Jagruti Party,1034,1,1035,0.08
8,MEDA SRINIVAS,Rashtriya Praja Congress (Secular),994,2,996,0.08
9,SANGISETTI SRINIVASA RAO,Pyramid Party of India,1156,5,1161,0.09
10,KURUVELLA BHANUCHANDAR,Independent,1242,0,1242,0.1
11,KOLLAPU VENU,Independent,2868,1,2869,0.23
12,NOTA,None of the Above,18064,23,18087,1.45
,Total, ,1244688,5739,1250427,
