SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KISHORE CHANDRA DEO,Telugu Desam,336163,1938,338101,31.46
2,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,Bharatiya Janata Party,17578,289,17867,1.66
3,GODDETI. MADHAVI,Yuvajana Sramika Rythu Congress Party,557561,4629,562190,52.32
4,SHRUTI DEVI VYRICHERLA,Indian National Congress,17656,74,17730,1.65
5,GANGULAIAH VAMPURU.,Janasena Party,42245,549,42794,3.98
6,SWAMULA. SUBRAHMANYAM,Jana Jagruti Party,4705,5,4710,0.44
7,ANUMULA VAMSIKRISHNA,Independent,10211,29,10240,0.95
8,KANGALA BALUDORA,Independent,13810,16,13826,1.29
9,NARAVA SATYAVATHI,Independent,11231,5,11236,1.05
10,BIDDIKA RAMAYYA.,Independent,7863,4,7867,0.73
11,NOTA,None of the Above,47955,22,47977,4.46
,Total, ,1066978,7560,1074538,
