SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Y.S.Avinash Reddy,Yuvajana Sramika Rythu Congress Party,778267,5532,783799,63.8
2,Chadipirala Adi Narayana Reddy,Telugu Desam,400192,2631,402823,32.79
3,Gundlakunta Sreeramulu,Indian National Congress,8280,61,8341,0.68
4,Gujjula Eswaraiah,Communist Party of India,6152,90,6242,0.51
5,Sri Rama Chandra Singareddy,Bharatiya Janata Party,3917,168,4085,0.33
6,Ameen Peeran Shaik,Ambedkar National Congress,571,2,573,0.05
7,Lakshmi Reddy Putha,Rajyadhikara Party,365,3,368,0.03
8,Pedakala Varalakshmi,Pyramid Party of India,705,11,716,0.06
9,Chadipirala Siva Narayana Reddy,Navarang Congress Party,445,1,446,0.04
10,Siva Chandra Reddy Komma,Anna YSR Congress Party,1398,24,1422,0.12
11,Gona Purushottam Reddy,Independent,1131,3,1134,0.09
12,Jakku Chenna Krishna Reddy,Independent,578,1,579,0.05
13,Nyamatulla Shaik,Independent,755,4,759,0.06
14,Peddireddy Showry Subhash Reddy,Independent,865,0,865,0.07
15,Venu Gopal Rachineni,Independent,1748,0,1748,0.14
16,NOTA,None of the Above,14629,63,14692,1.2
,Total, ,1219998,8594,1228592,
