SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ADARI ANAND KUMAR,Telugu Desam,495381,1653,497034,40.13
2,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),Bharatiya Janata Party,12888,388,13276,1.07
3,Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,583210,3016,586226,47.33
4,Ruthala Srirama Murthy,Indian National Congress,10072,49,10121,0.82
5,P.S.AJAY KUMAR,Communist Party of India (Marxist-Leninist) (Liberation),2708,8,2716,0.22
6,K B SWAROOP,Jana Jagruti Party,1615,6,1621,0.13
7,Chintala Partha Sarathi,Janasena Party,82126,462,82588,6.67
8,Taadi Veera Jagadeeshwari,Pyramid Party of India,1801,2,1803,0.15
9,Vadlamuri Krishna Swaroop,Dalita Bahujana Party,4443,1,4444,0.36
10,Appala Naidu Tummagunta,Independent,3760,5,3765,0.3
11,NOTA,None of the Above,34877,20,34897,2.82
,Total, ,1232881,5610,1238491,
