SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KETAN DAHYABHAI PATEL,Indian National Congress,27643,12,27655,31.62
2,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,37586,11,37597,42.98
3,SAKIL LATIF KHAN,Bahujan Samaj Party,790,2,792,0.91
4,PATEL UMESHBHAI BABUBHAI,Independent,19935,3,19938,22.79
5,NOTA,None of the Above,1487,0,1487,1.7
,Total, ,87441,28,87469,
