SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ASHOK SINGH,Indian National Congress,479482,926,480408,40.16
2,MAMTA BALVEER SINGH KUSHWAH,Bahujan Samaj Party,44540,137,44677,3.74
3,VIVEK NARAYAN SHEJWALKAR,Bharatiya Janata Party,624801,2449,627250,52.44
4,GEETA RANI KUSHWAH,Peoples Party of India (Democratic),5555,11,5566,0.47
5,JITENDRA JAIN AND AKASH,Bharat Prabhat Party,1099,6,1105,0.09
6,NANDKISHOR SHAU,Parivartan Samaj Party,1203,1,1204,0.1
7,NARAYAN NAMDEV,Ambedkarite Party of India,2279,0,2279,0.19
8,PRAN SINGH PAL,Rashtriya Shoshit Samaj Party,2222,4,2226,0.19
9,BRIJ MOHAN,Pragatishil Samajwadi Party (Lohia),1003,5,1008,0.08
10,VISHNU KANT SHARMA,Rashtriya Rashtrawadi Party,1110,3,1113,0.09
11,SUGREEV SINGH KUSHWAH,Jan Adhikar Party,1247,4,1251,0.1
12,COMRADE SUNIL GOPAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1394,0,1394,0.12
13,HANUMANT SINGH,Aajad Bharat Party (Democratic),1950,3,1953,0.16
14,ASHOK KHAN,Independent,3981,0,3981,0.33
15,KESHAV RAY CHAUDHARY,Independent,2736,1,2737,0.23
16,GOVIND SINGH,Independent,6316,4,6320,0.53
17,DEEPAK KUMAR BANSAL (RANGWALE),Independent,4984,0,4984,0.42
18,SOBRAN SINGH,Independent,1296,1,1297,0.11
19,NOTA,None of the Above,5328,15,5343,0.45
,Total, ,1192526,3570,1196096,
