SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GIRWAL DINESH,Indian National Congress,565687,431,566118,42.12
2,GULSINGH RAMSINGH KAWACHE,Bahujan Samaj Party,13805,22,13827,1.03
3,CHATTARSINGH DARBAR,Bharatiya Janata Party,721025,1122,722147,53.73
4,KAILASH VASUNIYA,Bahujan Mukti Party,9157,2,9159,0.68
5,MANISH DEVID,Bhartiya Amrit Party,3382,2,3384,0.25
6,RAMCHARAN MALIWAD,Janata Congress,5946,1,5947,0.44
7,DASHRATH BHUWAN (DOTRIYA),Independent,5620,1,5621,0.42
8,NOTA,None of the Above,17923,6,17929,1.33
,Total, ,1342545,1587,1344132,
