SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AMIT KUMAR BALKE,Bahujan Samaj Party,18554,19,18573,1.3
2,GAJENDRA UMRAO SINGH PATEL,Bharatiya Janata Party,772221,1329,773550,54.19
3,DR. GOVIND SUBHAN MUJALDA,Indian National Congress,570106,934,571040,40
4,COMRADE JYOTI SUKHLAL GORE,Communist Party of India,20669,4,20673,1.45
5,JANI KARAN,Independent,5329,1,5330,0.37
6,SHANTILAL S/O AASHARAM SAHITE,Independent,10262,3,10265,0.72
7,SEVANTI DINESH BHABAR,Independent,9749,4,9753,0.68
8,NOTA,None of the Above,18408,15,18423,1.29
,Total, ,1425298,2309,1427607,
