SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BAHAN KESHKALI KOL,Communist Party of India,33683,12,33695,2.72
2,PRAMILA SINGH,Indian National Congress,343553,1091,344644,27.84
3,MOHDAL SINGH PAV,Bahujan Samaj Party,20547,51,20598,1.66
4,HIMADRI SINGH,Bharatiya Janata Party,746122,1855,747977,60.43
5,KAMLA PRASAD BAIGA,Bhartiya Shakti Chetna Party,11510,4,11514,0.93
6,MEERA SINGH,Chhattisgarh Vikas Ganga Rashtriya Party,3351,2,3353,0.27
7,LAKSHYAPAT SINGH,Peoples Party of India (Democratic),4538,6,4544,0.37
8,VIMAL SINGH KORCHE,Gondvana Gantantra Party,16759,30,16789,1.36
9,GOKUL SINGH,Independent,3637,0,3637,0.29
10,JHAMAKLAL,Independent,4941,0,4941,0.4
11,DURGA MOSI,Independent,8025,1,8026,0.65
12,NARAYAN SINGH UIKE,Independent,7508,1,7509,0.61
13,MANNA SINGH,Independent,10604,0,10604,0.86
14,NOTA,None of the Above,19995,32,20027,1.62
,Total, ,1234773,3085,1237858,
