SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Jamyang Tsering Namgyal,Bharatiya Janata Party,41315,0,1599,42914,33.94
2,Rigzin Spalbar,Indian National Congress,20447,0,794,21241,16.8
3,Asgar Ali Karbalai,Independent,29069,0,296,29365,23.23
4,Sajjad Hussain,Independent,31552,0,432,31984,25.3
5,NOTA,None of the Above,910,0,12,922,0.73
,Total, ,123293,0,3133,126426,
