SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Gaurav Gogoi,Indian National Congress,785014,1078,786092,55.18
2,Moni Madhab Mahanta,Asom Gana Parishad,574456,1642,576098,40.44
3,Abdul Aziz,National People's Party,9880,23,9903,0.7
4,Shree Diganta Kumar Saikia,Hindusthan Nirman Dal,5650,62,5712,0.4
5,Md. Hariqul Islam Bhuyan,Asom Jana Morcha,5257,13,5270,0.37
6,Sri Jiten Gogoi,Independent,18253,91,18344,1.29
7,Sri Bhaskar Sarmah,Independent,7316,39,7355,0.52
8,NOTA,None of the Above,15845,68,15913,1.12
,Total, ,1421671,3016,1424687,
