SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Anjana Mahata,All India Trinamool Congress,9518,24,9542,0.83
2,Ashraf Hussain,Bahujan Samaj Party,3350,9,3359,0.29
3,Champai Soren,Jharkhand Mukti Morcha,377352,190,377542,33
4,Bidyut Baran Mahato,Bharatiya Janata Party,678984,648,679632,59.4
5,Angad Mahato,Amra Bangalee,6664,1,6665,0.58
6,Asjadullah Imran,Bharat Prabhat Party,1788,1,1789,0.16
7,Qamar Raza Khan,Bhartiya Panchyat Party,1463,0,1463,0.13
8,Chandra Shekhar Mahato,Peoples Party of India (Democratic),1585,2,1587,0.14
9,Panmani Singh,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2470,1,2471,0.22
10,Malay Kumar Mahato,Communist Party of India (Marxist-Leninist) Red Star,1873,1,1874,0.16
11,Mahesh Kumar,Right to Recall Party,2481,0,2481,0.22
12,Ranjit Kumar Singh,Jharkhand Party,4625,5,4630,0.4
13,Shekh Akhir Uddin,Jharkhand Party (Naren),7665,0,7665,0.67
14,Sabita Kaivarto,Aihra National Party,6270,2,6272,0.55
15,Subrat Kumar Pradhan,Ambedkarite Party of India,4848,2,4850,0.42
16,Surya Singh Besra,Jharkhand People's Party,9280,8,9288,0.81
17,Asit Kumar Singh,Independent,2365,1,2366,0.21
18,Dinesh Mahato,Independent,1524,0,1524,0.13
19,Deepak Kumar Giri,Independent,3518,0,3518,0.31
20,Mubin Khan,Independent,3969,0,3969,0.35
21,Rakesh Kumar,Independent,3239,0,3239,0.28
22,Shailesh Kumar Singh,Independent,1495,1,1496,0.13
23,Sarita Anand,Independent,1189,2,1191,0.1
24,NOTA,None of the Above,5802,11,5813,0.51
,Total, ,1143317,909,1144226,
