SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BIDYADHAR PRASAD,Bahujan Samaj Party,8757,41,8798,0.71
2,SANJAY SETH,Bharatiya Janata Party,704301,2527,706828,57.21
3,SUBODH KANT SAHAY,Indian National Congress,422672,1130,423802,34.3
4,AMAR KUMAR MAHTO,Republican Party of India (A),5826,11,5837,0.47
5,ALOK KUMAR,Rashtriya Jansangharsh Swaraj Party,2398,6,2404,0.19
6,PARMESHWAR MAHTO,Jharkhand Party,2033,17,2050,0.17
7,RANJIT MAHTO,Peoples Party of India (Democratic),1389,3,1392,0.11
8,RAMJIT MAHTO,Proutist Sarva Samaj,1505,0,1505,0.12
9,VIKAS CHANDRA SHARMA,Communist Party of India (Marxist-Leninist) Red Star,1405,2,1407,0.11
10,SIDHESHWAR SINGH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2222,5,2227,0.18
11,SUNITA MUNDA,Ambedkarite Party of India,6614,55,6669,0.54
12,ANJANI PANDEY,Independent,3580,8,3588,0.29
13,JAY PRAKASH PRASAD,Independent,2830,2,2832,0.23
14,JITENDRA THAKUR,Independent,6383,0,6383,0.52
15,NAND KISHORE YADAV,Independent,7795,6,7801,0.63
16,RAJU MAHTO,Independent,9372,0,9372,0.76
17,RAJESH KUMAR,Independent,2651,3,2654,0.21
18,RAJESH THAPA,Independent,4439,1,4440,0.36
19,RAM TAHAL CHOUDHARY,Independent,29454,143,29597,2.4
20,SATISH SINGH,Independent,1473,1,1474,0.12
21,NOTA,None of the Above,4348,33,4381,0.35
,Total, ,1231447,3994,1235441,
