SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,CHINTHA SAMBAMURTHY,Bharatiya Janata Party,83455,322,83777,7.89
2,DAYAKAR PASUNOORI,Telangana Rashtra Samithi,612027,471,612498,57.69
3,DOMMATI SAMBAIAH,Indian National Congress,261816,384,262200,24.7
4,BOLLAPALLY SARAIAH,Bahujan Samaj Party,8183,10,8193,0.77
5,KANNAM VENKANNA,Marxist Communist Party of India (United),5384,2,5386,0.51
6,PANIGANTI RAJITHAVANI,Pyramid Party of India,1983,3,1986,0.19
7,BUNGA JYOTHI RAMANA,Aihra National Party,29182,1,29183,2.75
8,BOCHU KRUPAKAR,Hum Bhartiya Party,1894,1,1895,0.18
9,SURESH KANAKAM,Samajwadi Forward Bloc,1324,0,1324,0.12
10,AITHA PRAVEEN KUMAR,Independent,2093,0,2093,0.2
11,UPENDAR JERIPOTHULA,Independent,14033,0,14033,1.32
12,CHILUVERU PRATHAP,Independent,6096,0,6096,0.57
13,JANNU NARSAIAH,Independent,6112,0,6112,0.58
14,PASULA RAMMURTHY,Independent,3810,2,3812,0.36
15,BARLA SRINIVAS,Independent,4256,0,4256,0.4
16,NOTA,None of the Above,18764,37,18801,1.77
,Total, ,1060412,1233,1061645,
