SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,CHUNNI LAL SAHU,Bharatiya Janata Party,614924,1656,616580,50.44
2,DHANSING KOSARIYA,Bahujan Samaj Party,11214,31,11245,0.92
3,DHANENDRA SAHU,Indian National Congress,525229,840,526069,43.04
4,ASHOK SONI,Ambedkarite Party of India,7729,4,7733,0.63
5,COMRADE BHOJLAL NETAM,Communist Party of India (Marxist-Leninist) Red Star,2259,4,2263,0.19
6,ROHIT KUMAR KOSRE,Rashtriya Jansabha Party,1316,1,1317,0.11
7,DR. VIRENDRA CHOUDHARY,Bhartiya Shakti Chetna Party,2537,1,2538,0.21
8,KHILAWAN SINGH DHRUW,Independent,2244,6,2250,0.18
9,CHAMPALAL PATEL GURUJI,Independent,1938,3,1941,0.16
10,JAGMOHAN BHAGWAT KOSARIYA,Independent,2243,1,2244,0.18
11,TARUN KUMAR DADSENA,Independent,4180,1,4181,0.34
12,DEVENDAR SINGH THAKUR (RAJPUT),Independent,15488,3,15491,1.27
13,SANTOSH BANJARE,Independent,7241,1,7242,0.59
14,NOTA,None of the Above,21218,23,21241,1.74
,Total, ,1219760,2575,1222335,
