SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,T. R. V .S. RAMESH,Dravida Munnetra Kazhagam,519594,2566,522160,50.05
2,C. JEYAPRAKASH,Bahujan Samaj Party,2813,14,2827,0.27
3,V. ANNAMALAI,Makkal Needhi Maiam,23612,101,23713,2.27
4,KUPPUSAMY,Anti Corruption Dynamic Party,7540,0,7540,0.72
5,Dr. R. GOVINDASAMY,Pattali Makkal Katchi,376628,1549,378177,36.25
6,R. CHITHRA,Naam Tamilar Katchi,34565,127,34692,3.33
7,CHELLADURAI,Tamil Nadu Ilangyar Katchi,2585,2,2587,0.25
8,M PAVADAI RAJA,Agila India Makkal Kazhagam,458,1,459,0.04
9,A. MANIKANDAN,Purvanchal Janta Party (Secular),636,2,638,0.06
10,M. RAGHUNATHAN,Ilantamilar Munnani Kazhagam,747,1,748,0.07
11,S. RAJAMOHAN,Independent,919,1,920,0.09
12,K. RAMAN,Independent,1941,2,1943,0.19
13,D. SANKAR,Independent,2860,0,2860,0.27
14,M. SATHIYASEELAN,Independent,1671,0,1671,0.16
15,D. SENTHAMARAI KANNAN,Independent,1275,2,1277,0.12
16,K. THANGAVEL,Independent,44865,27,44892,4.3
17,S. DHANASEKARAN,Independent,3296,0,3296,0.32
18,A. MARIMUTHU,Independent,634,1,635,0.06
19,MOOVANDHAN,Independent,1518,0,1518,0.15
20,A. JAYAMANI,Independent,574,0,574,0.06
21,K. HEMANTH KUMAR,Independent,1350,0,1350,0.13
22,NOTA,None of the Above,8660,65,8725,0.84
,Total, ,1038741,4461,1043202,
