SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARUN KUMAR,Communist Party of India,7540,23,7563,0.57
2,NARESH KUMAR,Bahujan Samaj Party,96205,91,96296,7.32
3,RATTAN LAL KATARIA,Bharatiya Janata Party,744438,2070,746508,56.72
4,RAM PAL,Indian National Lok Dal,19518,57,19575,1.49
5,SELJA,Indian National Congress,403678,485,404163,30.71
6,Anil Kumar,Republican Party of India (A),2123,5,2128,0.16
7,PURAN CHAND,Rashtriya Lokswaraj Party,719,0,719,0.05
8,PRITHVI RAJ,Aam Aadmi Party,12260,42,12302,0.93
9,RAJENDER KUMAR BHATLI,Bhartiya Shakti Chetna Party,1161,1,1162,0.09
10,VARUN KUMAR JAGLAN,Peoples Party of India (Democratic),948,1,949,0.07
11,SANDEEP SINGH,Aapki Apni Party (Peoples),885,9,894,0.07
12,SURAJ KUMAR,Bahujan Mukti Party,1842,0,1842,0.14
13,SURAJ BHAN NARWAL,Pragatishil Samajwadi Party (Lohia),1072,0,1072,0.08
14,JATINDER SINGH,Independent,2619,18,2637,0.2
15,BETA MAM CHAND RATTUWALA,Independent,3265,5,3270,0.25
16,RANJEET SINGH,Independent,3740,2,3742,0.28
17,RATTAN LAL,Independent,1892,2,1894,0.14
18,SURAJ BHAN,Independent,1575,1,1576,0.12
19,NOTA,None of the Above,7914,29,7943,0.6
,Total, ,1313394,2841,1316235,
