SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANAND RAMESH THORAWADE,Bahujan Samaj Party,6826,137,6963,0.62
2,SHRIMANT CHH. UDAYANRAJE PRATAPSINHMAHARAJ BHONSLE,Nationalist Congress Party,576078,2948,579026,51.91
3,NARENDRA ANNASAHEB PATIL,Shivsena,449661,2837,452498,40.57
4,DILIP SHRIRANG JAGTAP,Bahujan Republican Socialist Party,5036,19,5055,0.45
5,SAHADEO KERAPPA AIWALE,Vanchit Bahujan Aaghadi,40563,110,40673,3.65
6,ABHIJIT WAMANRAO BICHUKALE,Independent,2399,13,2412,0.22
7,PUNJABRAO MAHADEV PATIL (TALGAONKAR),Independent,5128,13,5141,0.46
8,SHAILENDRA RAMAKANT VEER,Independent,5830,16,5846,0.52
9,SAGAR SHARAD BHISE,Independent,8572,21,8593,0.77
10,NOTA,None of the Above,9167,60,9227,0.83
,Total, ,1109260,6174,1115434,
