SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Kamant Machhindra Gunwantrao,Indian National Congress,370835,1549,372384,31.65
2,Dr.Siddharthkumar Digambarrao Suryawanshi,Bahujan Samaj Party,6509,40,6549,0.56
3,Sudhakar Tukaram Shrangare,Bharatiya Janata Party,657590,3905,661495,56.22
4,Arun Ramrao Sontakke,Bahujan Republican Socialist Party,5199,9,5208,0.44
5,Dattu Prabhakar Karanjikar,Bahujan Mukti Party,2184,10,2194,0.19
6,Ram Garkar,Vanchit Bahujan Aaghadi,111780,475,112255,9.54
7,Rupesh Shamrao Shanke,Swatantra Bharat Paksha,4329,27,4356,0.37
8,Kamble Madhukar Sambhaji,Independent,1324,2,1326,0.11
9,Papita Raosaheb Randive,Independent,2091,4,2095,0.18
10,Ramesh Nivruti Kamble,Independent,2112,4,2116,0.18
11,NOTA,None of the Above,6511,53,6564,0.56
,Total, ,1170464,6078,1176542,
