SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Manoj Yadav,Bahujan Samaj Party,10498,280,10778,1
2,R. K. Singh,Bharatiya Janata Party,560106,6374,566480,52.42
3,Anil Kumar Singh,Pragatishil Samajwadi Party (Lohia),7018,23,7041,0.65
4,Krishna Paswan,Bhartiya Kranti Vir Party,3745,33,3778,0.35
5,Bharat Bhushan Pandey,Akhil Bharatiya Jan Sangh,3579,18,3597,0.33
6,Raj Giri Bhagat,Shoshit Samaj Dal,12592,6,12598,1.17
7,Raju Yadav,Communist Party of India (Marxist-Leninist) (Liberation),418266,929,419195,38.79
8,Dr. Kumar Sheelbhadra,Independent,9139,23,9162,0.85
9,Ram Raj Singh,Independent,4551,4,4555,0.42
10,Lakshaman Kumar Ojha,Independent,7894,8,7902,0.73
11,Shiv das Singh,Independent,13768,5,13773,1.27
12,NOTA,None of the Above,21763,62,21825,2.02
,Total, ,1072919,7765,1080684,
