SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AAKASH KUMAR SINGH,Rashtriya Lok Samta Party,281500,2639,284139,28.43
2,Prabhakar Jaiswal,Communist Party of India,10206,68,10274,1.03
3,RADHA MOHAN SINGH,Bharatiya Janata Party,574081,3706,577787,57.81
4,Dinesh Sahani,Rashtriya mahan Gantantra Party,9303,8,9311,0.93
5,Devendra Singh,Rashtriya Sarvjan Vikas Party,1905,9,1914,0.19
6,Parasnath Pandey,Janvadi Party(Socialist),1789,4,1793,0.18
7,Parasnath Ram,Janata Party,1795,17,1812,0.18
8,Randhir Kumar Tiwari,Asli Deshi Party,1403,3,1406,0.14
9,Rajiv Ranjan,Janta Dal Rashtravadi,1619,5,1624,0.16
10,Ramchandra Sah,Rashtriya Jansambhavna Party,6400,2,6402,0.64
11,Vinay Kumar Sriwastava,Rashtriya Samta Party (Secular),2335,8,2343,0.23
12,Shatrughna Tiwari,Bajjikanchal Vikas Party,4700,4,4704,0.47
13,Shekh Seraj,Akhil Bhartiya Apna Dal,4375,3,4378,0.44
14,Shobha Devi,Shoshit Samaj Dal,14023,4,14027,1.4
15,Sachin Paswan,Rashtriya Hind Sena,12060,20,12080,1.21
16,Satyam Yadav,Bahujan Nyay Dal,17736,5,17741,1.78
17,Md. Ajmer Alam,Independent,6042,9,6051,0.61
18,Aniket Ranjan,Independent,2048,10,2058,0.21
19,Pradeep Singh,Independent,6883,1,6884,0.69
20,Manoj Tiwari,Independent,1840,0,1840,0.18
21,Muneshwar Tiwari,Independent,2765,2,2767,0.28
22,Shakti Kumar,Independent,5358,1,5359,0.54
23,NOTA,None of the Above,22644,62,22706,2.27
,Total, ,992810,6590,999400,
