SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAVI SHANKAR PRASAD,Bharatiya Janata Party,604956,2550,607506,61.85
2,SHATRUGHAN SINHA,Indian National Congress,321840,1009,322849,32.87
3,AKHILESH KUMAR,Asli Deshi Party,3762,4,3766,0.38
4,ANAMIKA KUMARI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1217,3,1220,0.12
5,PRABHASH CHANDRA SHARMA,Vanchit Samaj Party,1272,0,1272,0.13
6,BASANT SINGH,Bharatiya Jan Kranti Dal (Democratic),1027,0,1027,0.1
7,MAHBOOB ALAM ANSARI,Bharatiya Momin Front,1480,3,1483,0.15
8,RAJESH KUMAR,Janata Party,1436,1,1437,0.15
9,RITA DEVI,Vikassheel Insaan Party,1289,1,1290,0.13
10,SUMIT RANJAN SINHA,Shivsena,1420,4,1424,0.14
11,AMIT KUMAR GUPTA,Independent,1571,1,1572,0.16
12,ARVIND KUMAR,Independent,2804,2,2806,0.29
13,ASHOK KUMAR GUPTA,Independent,3436,11,3447,0.35
14,KUMAR RAUNAK,Independent,2574,1,2575,0.26
15,JAVED,Independent,5446,0,5446,0.55
16,NIMESH SHUKLA,Independent,9319,0,9319,0.95
17,RANI DEVI,Independent,5253,2,5255,0.53
18,VISHNU DEV,Independent,3512,3,3515,0.36
19,NOTA,None of the Above,4988,88,5076,0.52
,Total, ,978602,3683,982285,
