SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DEEPAK YADAV,Bahujan Samaj Party,62816,147,62963,6.1
2,BAIDYANATH PRASAD MAHTO,Janata Dal (United),601227,1433,602660,58.39
3,SHASHWAT KEDAR,Indian National Congress,247319,725,248044,24.03
4,DURGESH SINGH CHAUHAN,Bihar Lok Nirman Dal,7914,3,7917,0.77
5,BHOLA RAY,Suheldev Bharatiya Samaj Party,7866,5,7871,0.76
6,MANOJ KUMAR,Janhit Kisan Party,4170,5,4175,0.4
7,RAKESH KEWAT,Rashtriya Hind Sena,12805,6,12811,1.24
8,RAJESH KUSHWAHA,Rashtriya Sarvjan Vikas Party,4578,5,4583,0.44
9,SHIV KUMAR CHAUDHARY,Bharatiya Bahujan Congress,4823,2,4825,0.47
10,SUSHMA DEVI,Shivsena,11896,37,11933,1.16
11,MUNNA SINGH,Independent,6133,3,6136,0.59
12,RAMESH PRASAD,Independent,8961,3,8964,0.87
13,SURESH SAH,Independent,14869,1,14870,1.44
14,NOTA,None of the Above,34311,27,34338,3.33
,Total, ,1029688,2402,1032090,
