SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,TARIQ ANWAR,Indian National Congress,502044,176,502220,44.93
2,DULAL CHANDRA GOSWAMI,Janata Dal (United),558984,439,559423,50.05
3,MUHAMMAD SHAKUR,Nationalist Congress Party,9234,14,9248,0.83
4,SHIVNANDAN MANDAL,Bahujan Samaj Party,3981,33,4014,0.36
5,ABDUR RAHMAN,Peoples Party of India (Democratic),2306,3,2309,0.21
6,GANGA KEBAT,Rashtriya Jansambhavna Party,2934,3,2937,0.26
7,BASUKINATH SAH,Bharatiya Bahujan Congress,2632,1,2633,0.24
8,MARANG HANSDA,Independent,6225,22,6247,0.56
9,SAMIR KUMAR JHA,Independent,8112,7,8119,0.73
10,NOTA,None of the Above,20572,12,20584,1.84
,Total, ,1117024,710,1117734,
